Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 0	 x	 LineStimuli/stimNo150r0c0v6R-1.7.jpg	 r	 3.880	 GoodTrial	 U	 l
2	 1	 right	 LineStimuli/stimNo13r6c19v6R-1.7.jpg	 l	 1.942	 GoodTrial	 U	 l
3	 1	 left	 LineStimuli/stimNo12r4c9v6L-1.7.jpg	 l	 2.250	 GoodTrial	 U	 l
4	 1	 right	 LineStimuli/stimNo47r15c15v6R-1.7.jpg	 l	 1.931	 GoodTrial	 U	 l
5	 0	 x	 LineStimuli/stimNo151r0c0v6R-1.7.jpg	 r	 2.722	 GoodTrial	 U	 l
6	 0	 x	 LineStimuli/stimNo110r0c0v6L-1.7.jpg	 r	 2.355	 GoodTrial	 U	 l
7	 1	 left	 LineStimuli/stimNo1r5c4v6R-1.7.jpg	 l	 2.225	 GoodTrial	 U	 l
8	 1	 left	 LineStimuli/stimNo5r10c7v6L-1.7.jpg	 l	 1.879	 GoodTrial	 U	 l
9	 0	 x	 LineStimuli/stimNo157r0c0v6L-1.7.jpg	 r	 2.326	 GoodTrial	 U	 l
10	 1	 left	 LineStimuli/stimNo39r10c3v6L-1.7.jpg	 l	 1.639	 GoodTrial	 U	 l
11	 0	 x	 LineStimuli/stimNo86r0c0v6R-1.7.jpg	 r	 2.121	 GoodTrial	 U	 l
12	 0	 x	 LineStimuli/stimNo99r0c0v6R-1.7.jpg	 r	 2.719	 GoodTrial	 U	 l
13	 0	 x	 LineStimuli/stimNo130r0c0v6L-1.7.jpg	 r	 2.631	 GoodTrial	 U	 l
14	 1	 right	 LineStimuli/stimNo57r9c13v6R-1.7.jpg	 l	 2.057	 GoodTrial	 U	 l
15	 1	 right	 LineStimuli/stimNo50r7c16v6L-1.7.jpg	 r	 2.984	 GoodTrial	 U	 l
16	 0	 x	 LineStimuli/stimNo94r0c0v6R-1.7.jpg	 r	 2.678	 GoodTrial	 U	 l
17	 1	 left	 LineStimuli/stimNo62r16c9v6L-1.7.jpg	 l	 1.758	 GoodTrial	 U	 l
18	 0	 x	 LineStimuli/stimNo121r0c0v6R-1.7.jpg	 r	 1.859	 GoodTrial	 U	 l
19	 1	 right	 LineStimuli/stimNo35r6c13v6L-1.7.jpg	 l	 2.178	 GoodTrial	 U	 l
20	 1	 right	 LineStimuli/stimNo28r12c18v6L-1.7.jpg	 l	 1.931	 GoodTrial	 U	 l
21	 0	 x	 LineStimuli/stimNo103r0c0v6L-1.7.jpg	 r	 2.484	 GoodTrial	 U	 l
22	 1	 left	 LineStimuli/stimNo68r2c6v6R-1.7.jpg	 l	 2.384	 GoodTrial	 U	 l
23	 0	 x	 LineStimuli/stimNo135r0c0v6L-1.7.jpg	 r	 2.785	 GoodTrial	 U	 l
24	 1	 right	 LineStimuli/stimNo63r3c20v6R-1.7.jpg	 l	 1.639	 GoodTrial	 U	 l
25	 0	 x	 LineStimuli/stimNo148r0c0v6L-1.7.jpg	 r	 2.550	 GoodTrial	 U	 l
26	 0	 x	 LineStimuli/stimNo124r0c0v6L-1.7.jpg	 r	 2.237	 GoodTrial	 U	 l
27	 1	 left	 LineStimuli/stimNo36r1c4v6L-1.7.jpg	 l	 1.561	 GoodTrial	 U	 l
28	 0	 x	 LineStimuli/stimNo131r0c0v6L-1.7.jpg	 r	 1.842	 GoodTrial	 U	 l
29	 1	 left	 LineStimuli/stimNo25r4c2v6L-1.7.jpg	 l	 1.578	 GoodTrial	 U	 l
30	 0	 x	 LineStimuli/stimNo109r0c0v6L-1.7.jpg	 r	 1.707	 GoodTrial	 U	 l
31	 1	 left	 LineStimuli/stimNo22r16c6v6R-1.7.jpg	 r	 2.255	 GoodTrial	 U	 l
32	 1	 right	 LineStimuli/stimNo80r10c20v6R-1.7.jpg	 l	 1.608	 GoodTrial	 U	 l
33	 0	 x	 LineStimuli/stimNo116r0c0v6R-1.7.jpg	 r	 2.153	 GoodTrial	 U	 l
34	 0	 x	 LineStimuli/stimNo114r0c0v6L-1.7.jpg	 r	 2.810	 GoodTrial	 U	 l
35	 1	 left	 LineStimuli/stimNo7r6c3v6R-1.7.jpg	 r	 2.061	 GoodTrial	 U	 l
36	 0	 x	 LineStimuli/stimNo96r0c0v6L-1.7.jpg	 r	 2.821	 GoodTrial	 U	 l
37	 1	 left	 LineStimuli/stimNo20r14c8v6L-1.7.jpg	 l	 1.632	 GoodTrial	 U	 l
38	 1	 left	 LineStimuli/stimNo72r12c6v6R-1.7.jpg	 l	 3.118	 GoodTrial	 U	 l
39	 0	 x	 LineStimuli/stimNo106r0c0v6L-1.7.jpg	 r	 2.337	 GoodTrial	 U	 l
40	 0	 x	 LineStimuli/stimNo111r0c0v6R-1.7.jpg	 r	 2.502	 GoodTrial	 U	 l
41	 1	 right	 LineStimuli/stimNo52r4c21v6L-1.7.jpg	 l	 1.932	 GoodTrial	 U	 l
42	 1	 right	 LineStimuli/stimNo15r6c15v6L-1.7.jpg	 r	 3.149	 GoodTrial	 U	 l
43	 0	 x	 LineStimuli/stimNo137r0c0v6L-1.7.jpg	 r	 3.102	 GoodTrial	 U	 l
44	 1	 right	 LineStimuli/stimNo19r1c17v6L-1.7.jpg	 l	 2.115	 GoodTrial	 U	 l
45	 0	 x	 LineStimuli/stimNo142r0c0v6L-1.7.jpg	 x	 2.509	 GoodTrial	 U	 l
