Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 1	 left	 LineStimuli/stimNo71r9c7v6R-1.7.jpg	 r	 3.708	 GoodTrial	 U	 l
2	 0	 x	 LineStimuli/stimNo146r0c0v6R-1.7.jpg	 r	 5.792	 GoodTrial	 U	 l
3	 1	 left	 LineStimuli/stimNo6r2c8v6R-1.7.jpg	 l	 5.167	 GoodTrial	 U	 l
4	 1	 right	 LineStimuli/stimNo47r15c15v6R-1.7.jpg	 l	 3.138	 GoodTrial	 U	 l
5	 1	 right	 LineStimuli/stimNo33r3c15v6R-1.7.jpg	 l	 2.691	 GoodTrial	 U	 l
6	 1	 left	 LineStimuli/stimNo60r15c9v6R-1.7.jpg	 r	 4.134	 GoodTrial	 U	 l
7	 0	 x	 LineStimuli/stimNo145r0c0v6R-1.7.jpg	 r	 4.904	 GoodTrial	 U	 l
8	 0	 x	 LineStimuli/stimNo82r0c0v6L-1.7.jpg	 r	 4.619	 GoodTrial	 U	 l
9	 1	 left	 LineStimuli/stimNo79r12c5v6L-1.7.jpg	 l	 2.150	 GoodTrial	 U	 l
10	 1	 left	 LineStimuli/stimNo46r11c4v6L-1.7.jpg	 l	 1.809	 GoodTrial	 U	 l
11	 1	 left	 LineStimuli/stimNo17r11c1v6L-1.7.jpg	 l	 1.655	 GoodTrial	 U	 l
12	 0	 x	 LineStimuli/stimNo156r0c0v6R-1.7.jpg	 r	 4.364	 GoodTrial	 U	 l
13	 0	 x	 LineStimuli/stimNo129r0c0v6R-1.7.jpg	 r	 4.368	 GoodTrial	 U	 l
14	 1	 right	 LineStimuli/stimNo31r9c15v6L-1.7.jpg	 r	 4.109	 GoodTrial	 U	 l
15	 0	 x	 LineStimuli/stimNo122r0c0v6L-1.7.jpg	 r	 5.057	 GoodTrial	 U	 l
16	 0	 x	 LineStimuli/stimNo118r0c0v6L-1.7.jpg	 r	 3.844	 GoodTrial	 U	 l
17	 1	 left	 LineStimuli/stimNo64r3c3v6R-1.7.jpg	 r	 5.687	 GoodTrial	 U	 l
18	 1	 left	 LineStimuli/stimNo25r4c2v6L-1.7.jpg	 l	 1.891	 GoodTrial	 U	 l
19	 0	 x	 LineStimuli/stimNo100r0c0v6R-1.7.jpg	 r	 4.498	 GoodTrial	 U	 l
20	 1	 right	 LineStimuli/stimNo48r15c22v6L-1.7.jpg	 l	 2.562	 GoodTrial	 U	 l
21	 1	 right	 LineStimuli/stimNo80r10c20v6R-1.7.jpg	 l	 1.956	 GoodTrial	 U	 l
22	 0	 x	 LineStimuli/stimNo152r0c0v6R-1.7.jpg	 r	 5.128	 GoodTrial	 U	 l
23	 1	 left	 LineStimuli/stimNo22r16c6v6R-1.7.jpg	 r	 5.734	 GoodTrial	 U	 l
24	 0	 x	 LineStimuli/stimNo97r0c0v6L-1.7.jpg	 r	 6.270	 GoodTrial	 U	 l
25	 0	 x	 LineStimuli/stimNo147r0c0v6R-1.7.jpg	 r	 5.904	 GoodTrial	 U	 l
26	 0	 x	 LineStimuli/stimNo154r0c0v6R-1.7.jpg	 r	 4.233	 GoodTrial	 U	 l
27	 1	 right	 LineStimuli/stimNo42r11c21v6L-1.7.jpg	 r	 3.321	 GoodTrial	 U	 l
28	 0	 x	 LineStimuli/stimNo130r0c0v6L-1.7.jpg	 r	 4.574	 GoodTrial	 U	 l
29	 1	 right	 LineStimuli/stimNo15r6c15v6L-1.7.jpg	 l	 2.116	 GoodTrial	 U	 l
30	 0	 x	 LineStimuli/stimNo111r0c0v6R-1.7.jpg	 r	 4.450	 GoodTrial	 U	 l
31	 1	 right	 LineStimuli/stimNo34r16c22v6R-1.7.jpg	 l	 2.074	 GoodTrial	 U	 l
32	 1	 left	 LineStimuli/stimNo3r8c6v6R-1.7.jpg	 r	 3.909	 GoodTrial	 U	 l
33	 1	 left	 LineStimuli/stimNo2r12c8v6L-1.7.jpg	 l	 1.720	 GoodTrial	 U	 l
34	 0	 x	 LineStimuli/stimNo141r0c0v6L-1.7.jpg	 r	 6.497	 GoodTrial	 U	 l
35	 0	 x	 LineStimuli/stimNo115r0c0v6R-1.7.jpg	 r	 6.026	 GoodTrial	 U	 l
36	 1	 left	 LineStimuli/stimNo36r1c4v6L-1.7.jpg	 l	 2.068	 GoodTrial	 U	 l
