Trial	Target_pr	Target_side	Name	Key	RT	Message	Trial_Type	Hemianopia
1	 1	 right	 LineStimuli/stimNo15r6c15v6L-1.7.jpg	 r	 6.831	 GoodTrial	 U	 l
2	 0	 x	 LineStimuli/stimNo147r0c0v6R-1.7.jpg	 r	 8.686	 GoodTrial	 U	 l
3	 0	 x	 LineStimuli/stimNo139r0c0v6L-1.7.jpg	 r	 6.411	 GoodTrial	 U	 l
4	 1	 left	 LineStimuli/stimNo20r14c8v6L-1.7.jpg	 l	 2.657	 GoodTrial	 U	 l
5	 1	 right	 LineStimuli/stimNo51r8c16v6R-1.7.jpg	 l	 3.199	 GoodTrial	 U	 l
6	 0	 x	 LineStimuli/stimNo126r0c0v6R-1.7.jpg	 r	 4.210	 GoodTrial	 U	 l
7	 0	 x	 LineStimuli/stimNo129r0c0v6R-1.7.jpg	 l	 5.508	 GoodTrial	 U	 l
8	 0	 x	 LineStimuli/stimNo131r0c0v6L-1.7.jpg	 r	 9.281	 GoodTrial	 U	 l
9	 0	 x	 LineStimuli/stimNo82r0c0v6L-1.7.jpg	 r	 7.869	 GoodTrial	 U	 l
10	 0	 x	 LineStimuli/stimNo134r0c0v6L-1.7.jpg	 r	 5.408	 GoodTrial	 U	 l
11	 0	 x	 LineStimuli/stimNo81r0c0v6R-1.7.jpg	 r	 6.008	 GoodTrial	 U	 l
12	 0	 x	 LineStimuli/stimNo107r0c0v6R-1.7.jpg	 r	 4.901	 GoodTrial	 U	 l
13	 1	 left	 LineStimuli/stimNo12r4c9v6L-1.7.jpg	 l	 5.138	 GoodTrial	 U	 l
14	 0	 x	 LineStimuli/stimNo113r0c0v6R-1.7.jpg	 r	 6.828	 GoodTrial	 U	 l
15	 0	 x	 LineStimuli/stimNo144r0c0v6R-1.7.jpg	 r	 8.868	 GoodTrial	 U	 l
16	 0	 x	 LineStimuli/stimNo119r0c0v6R-1.7.jpg	 r	 8.058	 GoodTrial	 U	 l
17	 0	 x	 LineStimuli/stimNo114r0c0v6L-1.7.jpg	 r	 5.587	 GoodTrial	 U	 l
18	 1	 right	 LineStimuli/stimNo35r6c13v6L-1.7.jpg	 r	 3.270	 GoodTrial	 U	 l
19	 1	 left	 LineStimuli/stimNo6r2c8v6R-1.7.jpg	 r	 4.983	 GoodTrial	 U	 l
20	 1	 left	 LineStimuli/stimNo7r6c3v6R-1.7.jpg	 l	 3.950	 GoodTrial	 U	 l
21	 0	 x	 LineStimuli/stimNo101r0c0v6L-1.7.jpg	 r	 10.702	 GoodTrial	 U	 l
22	 1	 left	 LineStimuli/stimNo26r14c5v6R-1.7.jpg	 l	 4.577	 GoodTrial	 U	 l
23	 1	 left	 LineStimuli/stimNo61r10c4v6L-1.7.jpg	 l	 2.387	 GoodTrial	 U	 l
24	 0	 x	 LineStimuli/stimNo160r0c0v6L-1.7.jpg	 r	 7.574	 GoodTrial	 U	 l
25	 0	 x	 LineStimuli/stimNo128r0c0v6R-1.7.jpg	 r	 5.957	 GoodTrial	 U	 l
26	 1	 left	 LineStimuli/stimNo21r4c2v6R-1.7.jpg	 l	 5.403	 GoodTrial	 U	 l
27	 0	 x	 LineStimuli/stimNo97r0c0v6L-1.7.jpg	 r	 5.170	 GoodTrial	 U	 l
28	 0	 x	 LineStimuli/stimNo151r0c0v6R-1.7.jpg	 r	 5.086	 GoodTrial	 U	 l
29	 0	 x	 LineStimuli/stimNo154r0c0v6R-1.7.jpg	 r	 9.157	 GoodTrial	 U	 l
30	 0	 x	 LineStimuli/stimNo108r0c0v6L-1.7.jpg	 r	 4.645	 GoodTrial	 U	 l
31	 0	 x	 LineStimuli/stimNo99r0c0v6R-1.7.jpg	 r	 5.152	 GoodTrial	 U	 l
